fiscal_year,program_area_name,organization_type,award_status,cnt_award_status,state_code,state_name
2007,Agriculture Risk Protection Act,1862 Land-Grant University,awarded,1,TX,TEXAS
2007,Agriculture Risk Protection Act,1862 Land-Grant University,awarded,1,WA,WASHINGTON
2007,Agriculture Risk Protection Act,1862 Land-Grant University,not-awarded,2,AZ,ARIZONA
2007,Agriculture Risk Protection Act,Other,awarded,1,MT,MONTANA
2007,Alaska Native and Native Hawaiian-Serving Inst.,1862 Land-Grant University,awarded,3,AK,ALASKA
2007,Alaska Native and Native Hawaiian-Serving Inst.,1862 Land-Grant University,awarded,1,HI,HAWAII
2007,Alaska Native and Native Hawaiian-Serving Inst.,Non Land-Grant Public University or College,awarded,1,AK,ALASKA
2007,Alaska Native and Native Hawaiian-Serving Inst.,Other,not-awarded,1,AK,ALASKA
2007,Alaska Native and Native Hawaiian-Serving Inst.,Other,not-awarded,1,HI,HAWAII
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,awarded,1,CO,COLORADO
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,awarded,1,CT,CONNECTICUT
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,awarded,1,IA,IOWA
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,awarded,1,ID,IDAHO
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,awarded,1,NC,NORTH CAROLINA
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,awarded,1,SC,SOUTH CAROLINA
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,awarded,1,TN,TENNESSEE
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,1,AR,ARKANSAS
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,1,AZ,ARIZONA
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,2,CA,CALIFORNIA
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,1,CT,CONNECTICUT
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,1,FL,FLORIDA
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,3,HI,HAWAII
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,2,IA,IOWA
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,1,KY,KENTUCKY
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,2,MI,MICHIGAN
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,1,MN,MINNESOTA
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,2,NC,NORTH CAROLINA
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,3,NY,NEW YORK
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,2,OR,OREGON
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,1,VA,VIRGINIA
2007,Biotechnology Risk Assessment Grants Program,1862 Land-Grant University,not-awarded,1,WI,WISCONSIN
2007,Biotechnology Risk Assessment Grants Program,Non Land-Grant Public University or College,not-awarded,1,NY,NEW YORK
2007,Biotechnology Risk Assessment Grants Program,Non Land-Grant Public University or College,not-awarded,1,OR,OREGON
2007,Biotechnology Risk Assessment Grants Program,Private For-Profit,not-awarded,1,MN,MINNESOTA
2007,Biotechnology Risk Assessment Grants Program,Private Non-profit,not-awarded,1,CA,CALIFORNIA
2007,Biotechnology Risk Assessment Grants Program,USDA Agency,awarded,2,CA,CALIFORNIA
2007,Biotechnology Risk Assessment Grants Program,USDA Agency,awarded,1,IL,ILLINOIS
2007,Biotechnology Risk Assessment Grants Program,USDA Agency,awarded,1,PA,PENNSYLVANIA
2007,Challenge Grants Program,1862 Land-Grant University,awarded,1,AR,ARKANSAS
2007,Challenge Grants Program,1862 Land-Grant University,awarded,1,FL,FLORIDA
2007,Challenge Grants Program,1862 Land-Grant University,awarded,2,GA,GEORGIA
2007,Challenge Grants Program,1862 Land-Grant University,awarded,2,IA,IOWA
2007,Challenge Grants Program,1862 Land-Grant University,awarded,1,IN,INDIANA
2007,Challenge Grants Program,1862 Land-Grant University,awarded,1,MI,MICHIGAN
2007,Challenge Grants Program,1862 Land-Grant University,awarded,1,MT,MONTANA
2007,Challenge Grants Program,1862 Land-Grant University,awarded,1,NC,NORTH CAROLINA
2007,Challenge Grants Program,1862 Land-Grant University,awarded,1,NE,NEBRASKA
2007,Challenge Grants Program,1862 Land-Grant University,awarded,1,OK,OKLAHOMA
2007,Challenge Grants Program,1862 Land-Grant University,awarded,1,TN,TENNESSEE
2007,Challenge Grants Program,1862 Land-Grant University,awarded,2,VA,VIRGINIA
2007,Challenge Grants Program,1862 Land-Grant University,awarded,2,WI,WISCONSIN
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,4,AL,ALABAMA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,AR,ARKANSAS
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,AZ,ARIZONA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,3,CA,CALIFORNIA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,CO,COLORADO
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,DE,DELAWARE
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,2,FL,FLORIDA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,2,GA,GEORGIA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,HI,HAWAII
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,4,IA,IOWA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,ID,IDAHO
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,IN,INDIANA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,2,KS,KANSAS
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,3,KY,KENTUCKY
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,LA,LOUISIANA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,2,MI,MICHIGAN
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,MO,MISSOURI
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,MT,MONTANA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,NC,NORTH CAROLINA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,2,NE,NEBRASKA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,NH,NEW HAMPSHIRE
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,NJ,NEW JERSEY
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,3,OH,OHIO
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,OK,OKLAHOMA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,2,PA,PENNSYLVANIA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,4,SC,SOUTH CAROLINA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,TX,TEXAS
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,2,VA,VIRGINIA
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,WA,WASHINGTON
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,WI,WISCONSIN
2007,Challenge Grants Program,1862 Land-Grant University,not-awarded,1,WY,WYOMING
2007,Challenge Grants Program,1994 Land-Grant University,not-awarded,1,MT,MONTANA
2007,Challenge Grants Program,Non Land-Grant Public University or College,awarded,1,NC,NORTH CAROLINA
2007,Challenge Grants Program,Non Land-Grant Public University or College,awarded,1,WI,WISCONSIN
2007,Challenge Grants Program,Non Land-Grant Public University or College,not-awarded,1,AZ,ARIZONA
2007,Challenge Grants Program,Non Land-Grant Public University or College,not-awarded,1,IL,ILLINOIS
2007,Challenge Grants Program,Non Land-Grant Public University or College,not-awarded,1,NC,NORTH CAROLINA
2007,Challenge Grants Program,Other,not-awarded,1,TX,TEXAS
2007,Challenge Grants Program,Private University or College,not-awarded,1,CA,CALIFORNIA
2007,Challenge Grants Program,Private University or College,not-awarded,1,IA,IOWA
2007,Challenge Grants Program,Private University or College,not-awarded,1,IL,ILLINOIS
2007,Challenge Grants Program,Private University or College,not-awarded,1,PR,PUERTO RICO
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,2,AR,ARKANSAS
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,4,CA,CALIFORNIA
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,2,CO,COLORADO
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,1,CT,CONNECTICUT
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,1,DC,DISTRICT OF COLUMBIA
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,1,DE,DELAWARE
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,1,FL,FLORIDA
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,2,IL,ILLINOIS
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,1,IN,INDIANA
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,1,LA,LOUISIANA
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,2,MA,MASSACHUSETTS
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,1,MD,MARYLAND
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,5,ME,MAINE
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,4,MI,MICHIGAN
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,3,MN,MINNESOTA
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,1,MO,MISSOURI
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,1,NC,NORTH CAROLINA
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,2,NM,NEW MEXICO
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,4,NY,NEW YORK
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,2,OH,OHIO
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,1,PA,PENNSYLVANIA
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,1,SD,SOUTH DAKOTA
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,1,TX,TEXAS
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,3,VT,VERMONT
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,1,WA,WASHINGTON
2007,Community Food Projects Program,1862 Land-Grant University,not-awarded,4,WI,WISCONSIN
2007,Community Food Projects Program,Non Land-Grant Public University or College,awarded,1,LA,LOUISIANA
2007,Community Food Projects Program,Non Land-Grant Public University or College,not-awarded,1,AZ,ARIZONA
2007,Community Food Projects Program,Non Land-Grant Public University or College,not-awarded,1,WA,WASHINGTON
2007,Community Food Projects Program,Non Land-Grant Public University or College,not-awarded,1,WI,WISCONSIN
2007,Community Food Projects Program,Other,not-awarded,1,ME,MAINE
2007,Community Food Projects Program,Private Non-profit,awarded,1,AK,ALASKA
2007,Community Food Projects Program,Private Non-profit,awarded,1,AZ,ARIZONA
2007,Community Food Projects Program,Private Non-profit,awarded,7,CA,CALIFORNIA
2007,Community Food Projects Program,Private Non-profit,awarded,1,GA,GEORGIA
2007,Community Food Projects Program,Private Non-profit,awarded,1,ME,MAINE
2007,Community Food Projects Program,Private Non-profit,awarded,1,MN,MINNESOTA
2007,Community Food Projects Program,Private Non-profit,awarded,1,MT,MONTANA
2007,Community Food Projects Program,Private Non-profit,awarded,2,NM,NEW MEXICO
2007,Community Food Projects Program,Private Non-profit,awarded,4,NY,NEW YORK
2007,Community Food Projects Program,Private Non-profit,awarded,1,OK,OKLAHOMA
2007,Community Food Projects Program,Private Non-profit,awarded,1,OR,OREGON
2007,Community Food Projects Program,Private Non-profit,awarded,2,PA,PENNSYLVANIA
2007,Community Food Projects Program,Private Non-profit,awarded,1,SC,SOUTH CAROLINA
2007,Community Food Projects Program,Private Non-profit,awarded,1,SD,SOUTH DAKOTA
2007,Community Food Projects Program,Private Non-profit,awarded,1,TN,TENNESSEE
2007,Community Food Projects Program,Private Non-profit,awarded,2,WA,WASHINGTON
2007,Community Food Projects Program,Private Non-profit,awarded,2,WI,WISCONSIN
2007,Community Food Projects Program,Private Non-profit,awarded,1,WY,WYOMING
2007,Community Food Projects Program,Private Non-profit,not-awarded,1,CA,CALIFORNIA
2007,Community Food Projects Program,Private Non-profit,not-awarded,1,CO,COLORADO
2007,Community Food Projects Program,Private Non-profit,not-awarded,1,DC,DISTRICT OF COLUMBIA
2007,Community Food Projects Program,Private Non-profit,not-awarded,1,MA,MASSACHUSETTS
2007,Community Food Projects Program,Private Non-profit,not-awarded,1,PA,PENNSYLVANIA
2007,Community Food Projects Program,Private University or College,not-awarded,1,CA,CALIFORNIA
2007,Community Food Projects Program,"State, Local, or Tribal Government",not-awarded,1,SC,SOUTH CAROLINA
2007,Community Food Projects Program,USDA Agency,not-awarded,1,CA,CALIFORNIA
2007,Extension Program Unit,1862 Land-Grant University,awarded,1,CA,CALIFORNIA
2007,Extension Program Unit,1862 Land-Grant University,awarded,1,FL,FLORIDA
2007,Extension Program Unit,1862 Land-Grant University,awarded,1,UT,UTAH
2007,Extension Program Unit,Private Non-profit,awarded,1,HI,HAWAII
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,2,AL,ALABAMA
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,2,AR,ARKANSAS
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,DE,DELAWARE
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,FL,FLORIDA
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,GA,GEORGIA
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,KY,KENTUCKY
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,LA,LOUISIANA
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,MD,MARYLAND
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,MO,MISSOURI
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,MS,MISSISSIPPI
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,NC,NORTH CAROLINA
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,OK,OKLAHOMA
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,SC,SOUTH CAROLINA
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,TN,TENNESSEE
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,TX,TEXAS
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,VA,VIRGINIA
2007,Extension Section 1447 Facilities Grants,1890 Land-Grant University (incl Tuskegee),awarded,1,WV,WEST VIRGINIA
2007,"Families, 4-H, and Nutrition",Private Non-profit,awarded,1,IN,INDIANA
2007,"Families, 4-H, and Nutrition",Private Non-profit,awarded,1,MD,MARYLAND
2007,"Families, 4-H, and Nutrition",Private Non-profit,awarded,1,NY,NEW YORK
2007,Hispanic Serving Institutions,1862 Land-Grant University,awarded,1,NM,NEW MEXICO
2007,Hispanic Serving Institutions,1862 Land-Grant University,awarded,2,PR,PUERTO RICO
2007,Hispanic Serving Institutions,1862 Land-Grant University,awarded,1,TX,TEXAS
2007,Hispanic Serving Institutions,1862 Land-Grant University,not-awarded,4,NM,NEW MEXICO
2007,Hispanic Serving Institutions,1862 Land-Grant University,not-awarded,1,PR,PUERTO RICO
2007,Hispanic Serving Institutions,Non Land-Grant Public University or College,awarded,6,CA,CALIFORNIA
2007,Hispanic Serving Institutions,Non Land-Grant Public University or College,awarded,1,CO,COLORADO
2007,Hispanic Serving Institutions,Non Land-Grant Public University or College,awarded,2,TX,TEXAS
2007,Hispanic Serving Institutions,Non Land-Grant Public University or College,not-awarded,1,CA,CALIFORNIA
2007,Hispanic Serving Institutions,Non Land-Grant Public University or College,not-awarded,1,FL,FLORIDA
2007,Hispanic Serving Institutions,Non Land-Grant Public University or College,not-awarded,1,WA,WASHINGTON
2007,Hispanic Serving Institutions,Other,awarded,1,AZ,ARIZONA
2007,Hispanic Serving Institutions,Other,awarded,1,CA,CALIFORNIA
2007,Hispanic Serving Institutions,Other,awarded,1,MA,MASSACHUSETTS
